  region;maille_code;code;nom;latitude;longitude
Guadeloupe;REG-01;01;Guadeloupe;16.2650;-61.55100
Martinique;REG-02;02;Martinique;14.6415;-61.02420
Guyane;REG-03;03;Guyane;3.9339;-53.12580
La_Reunion;REG-04;04;La Réunion;-21.1151;55.53640
Mayotte;REG-06;06;Mayotte;-12.8275;45.16624
Île-de-France;REG-11;11;Île-de-France;48.836336;2.342042
Centre-Val de Loire;REG-24;24;Centre-Val de Loire;47.587786;1.548273
Bourgogne-Franche-Comté;REG-27;27;Bourgogne-Franche-Comté;47.240605;4.906702
Normandie;REG-28;28;Normandie;49.100546;0.293470
Hauts-de-France;REG-32;32;Hauts-de-France;49.929414;2.696413
Grand Est;REG-44;44;Grand Est;48.684449;6.167428
Pays de la Loire;REG-52;52;Pays de la Loire;47.626963;-0.624169
Bretagne;REG-53;53;Bretagne;48.160951;-2.606474
Nouvelle-Aquitaine;REG-75;75;Nouvelle-Aquitaine;45.573404;0.166049
Occitanie;REG-76;76;Occitanie;43.594214;1.429749
Auvergne-Rhône-Alpes;REG-84;84;Auvergne-Rhône-Alpes;45.353078;4.380843
Provence-Alpes-Côte d'Azur;REG-93;93;Provence-Alpes-Côte d'Azur;43.985069;6.104663
Corse;REG-94;94;Corse;42.118134;9.085341
France;FRA;;;46.2276;2.21370
